housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
31,1077.0,300.0,1198.0,274.0,2.1333,h ocean,160200
52,1770.0,435.0,1848.0,439.0,2.4135,h ocean,167200
47,1346.0,383.0,1452.0,371.0,1.7292,h ocean,191700
31,1453.0,404.0,1486.0,389.0,2.3859,h ocean,153100
42,902.0,318.0,1312.0,323.0,1.9375,h ocean,168800
29,1478.0,413.0,1580.0,394.0,1.8781,h ocean,147500
36,3334.0,920.0,2881.0,800.0,2.1696,h ocean,170800
48,2514.0,595.0,2484.0,601.0,3.1146,h ocean,142500
37,299.0,89.0,318.0,92.0,1.3125,h ocean,145800
45,1327.0,271.0,1069.0,284.0,3.3977,h ocean,153800
40,2744.0,708.0,2747.0,674.0,2.6226,h ocean,148800
44,1688.0,426.0,1605.0,384.0,3.3785,h ocean,184900
41,2090.0,530.0,2043.0,537.0,1.9706,h ocean,144200
10,1907.0,398.0,921.0,369.0,4.875,h ocean,200400
10,1940.0,445.0,763.0,412.0,4.975,h ocean,166700
7,2529.0,689.0,1215.0,577.0,4.7853,h ocean,153100
8,1116.0,267.0,435.0,235.0,4.9231,h ocean,230900
35,2226.0,602.0,2230.0,549.0,2.9167,h ocean,129300
35,1554.0,381.0,1487.0,374.0,1.9038,h ocean,139500
38,2965.0,665.0,2128.0,650.0,3.0241,h ocean,166300
42,1555.0,337.0,1152.0,348.0,3.375,h ocean,169600
44,1734.0,364.0,1133.0,351.0,2.5132,h ocean,163100
33,1515.0,415.0,1345.0,346.0,2.375,h ocean,175000
50,1568.0,302.0,1093.0,333.0,3.1442,h ocean,162100
36,3066.0,797.0,3097.0,780.0,2.5523,h ocean,156500
33,2907.0,797.0,3212.0,793.0,2.2348,h ocean,146600
31,1318.0,311.0,1164.0,289.0,2.9939,h ocean,135500
33,1369.0,408.0,1475.0,377.0,2.3281,h ocean,151900
43,1523.0,378.0,1338.0,352.0,3.2031,h ocean,144600
39,787.0,181.0,731.0,179.0,3.2279,h ocean,158500
33,851.0,231.0,936.0,228.0,3.375,h ocean,147500
28,2616.0,630.0,2218.0,621.0,2.6842,h ocean,156000
19,2150.0,544.0,1510.0,467.0,3.4952,h ocean,150000
41,247.0,55.0,925.0,50.0,3.5769,h ocean,135700
37,1155.0,225.0,814.0,241.0,3.875,h ocean,148500
27,2025.0,565.0,2189.0,577.0,2.6083,h ocean,148600
32,555.0,159.0,748.0,163.0,1.9762,h ocean,137500
47,2324.0,658.0,3020.0,594.0,1.1868,h ocean,93800
46,453.0,119.0,533.0,132.0,2.2961,h ocean,112500
40,1181.0,335.0,1441.0,337.0,2.1136,h ocean,111800
8,762.0,204.0,728.0,174.0,2.4886,h ocean,137500
46,1051.0,302.0,1435.0,305.0,1.6667,h ocean,133600
36,2672.0,675.0,2883.0,674.0,2.0885,h ocean,142800
37,349.0,79.0,276.0,64.0,3.2125,h ocean,125000
46,321.0,101.0,401.0,86.0,2.1029,h ocean,109400
30,511.0,153.0,1152.0,149.0,2.3611,h ocean,156800
52,48.0,6.0,41.0,10.0,8.946750000000016,h ocean,112500
36,1243.0,470.0,1668.0,444.0,1.0714,h ocean,137500
52,470.0,115.0,434.0,123.0,2.095,h ocean,109100
34,1083.0,364.0,1132.0,338.0,2.2344,h ocean,153100
34,1113.0,435.0,928.0,290.0,3.1654,h ocean,155000
41,1422.0,478.0,1640.0,434.0,1.6122,h ocean,157100
26,745.0,258.0,694.0,236.0,1.3846,h ocean,129200
28,1079.0,306.0,1358.0,285.0,2.52,h ocean,131900
28,950.0,357.0,1485.0,345.0,1.9271,h ocean,136400
45,2146.0,607.0,2868.0,625.0,2.121,h ocean,144000
43,1165.0,317.0,1279.0,303.0,1.9615,h ocean,141700
40,1146.0,323.0,1354.0,321.0,1.9205,h ocean,121900
40,1082.0,318.0,1085.0,273.0,1.7054,h ocean,117200
42,1703.0,586.0,2490.0,581.0,2.02,h ocean,147200
41,1268.0,398.0,1887.0,407.0,2.625,h ocean,150000
43,977.0,266.0,1084.0,259.0,2.7708,h ocean,127900
41,1098.0,264.0,1178.0,245.0,2.1058,h ocean,124300
50,1407.0,401.0,1526.0,385.0,2.29,h ocean,121800
45,963.0,234.0,1194.0,239.0,2.1806,h ocean,134900
40,1095.0,305.0,1322.0,281.0,1.9688,h ocean,150000
52,1053.0,246.0,1036.0,249.0,2.1071,h ocean,136700
50,1183.0,246.0,851.0,231.0,3.2639,h ocean,142600
52,1249.0,307.0,1223.0,297.0,2.07,h ocean,136300
47,1894.0,408.0,1629.0,379.0,3.7619,h ocean,127600
52,1754.0,452.0,1849.0,445.0,2.3716,h ocean,122800
44,1399.0,386.0,1419.0,373.0,1.8224,h ocean,143800
36,1625.0,490.0,2003.0,478.0,2.181,h ocean,147200
44,1582.0,544.0,1998.0,515.0,1.6888,h ocean,125000
18,796.0,227.0,547.0,218.0,1.0333,h ocean,135400
36,1825.0,479.0,2097.0,480.0,2.1862,h ocean,135300
37,845.0,249.0,881.0,252.0,2.2454,h ocean,165000
47,1325.0,393.0,1557.0,352.0,2.8,h ocean,148400
28,1841.0,809.0,3199.0,727.0,1.6319,h ocean,151600
52,846.0,271.0,1153.0,281.0,2.1923,h ocean,155000
43,1153.0,411.0,1667.0,409.0,1.9402,h ocean,139300
47,722.0,235.0,930.0,226.0,2.5455,h ocean,114300
43,798.0,308.0,1417.0,325.0,1.4189,h ocean,141700
44,1105.0,346.0,1598.0,372.0,1.2,h ocean,115600
43,2343.0,803.0,2468.0,707.0,1.5163,h ocean,115000
43,1502.0,477.0,1844.0,477.0,1.9405,h ocean,152500
47,1306.0,391.0,1499.0,346.0,2.2788,h ocean,139600
45,554.0,214.0,888.0,218.0,1.8125,h ocean,139600
45,1860.0,472.0,1893.0,456.0,2.6573,h ocean,141800
44,1550.0,407.0,1718.0,403.0,2.5268,h ocean,141100
52,497.0,132.0,547.0,121.0,2.2083,h ocean,146300
47,876.0,228.0,872.0,231.0,2.2656,h ocean,145000
41,1292.0,334.0,1150.0,322.0,1.925,h ocean,135200
49,1098.0,317.0,1411.0,301.0,2.75,h ocean,146000
52,774.0,209.0,813.0,203.0,2.3472,h ocean,135200
37,1583.0,392.0,1776.0,377.0,2.7266,h ocean,140800
52,583.0,157.0,730.0,174.0,1.4115,h ocean,140600
45,792.0,203.0,872.0,188.0,2.6875,h ocean,129700
44,2702.0,770.0,3260.0,721.0,2.3575,h ocean,144800
48,2230.0,593.0,2419.0,598.0,2.3944,h ocean,130700
26,36.0,9.0,35.0,9.0,1.625,h ocean,175000
42,498.0,120.0,548.0,119.0,3.7543,h ocean,126600
52,22.0,7.0,55.0,7.0,7.5752,h ocean,67500
43,1811.0,513.0,2123.0,487.0,1.3615,h ocean,133300
52,346.0,270.0,346.0,251.0,2.5313,h ocean,225000
13,1703.0,697.0,1823.0,669.0,0.8288,h ocean,181300
52,116.0,107.0,171.0,92.0,1.0769,h ocean,112500
33,390.0,199.0,435.0,193.0,1.1979,h ocean,350000
8,1204.0,552.0,1074.0,517.0,1.0227,h ocean,87500
19,2870.0,1021.0,3325.0,978.0,1.7395,h ocean,162500
52,2806.0,1739.0,2232.0,1581.0,0.6775,h ocean,350000
8,3105.0,1256.0,1086.0,997.0,0.8131,h ocean,275000
12,4011.0,1438.0,1673.0,1088.0,5.3081,h ocean,287500
52,58.0,52.0,41.0,27.0,4.0972,h ocean,500001
6,1529.0,566.0,1051.0,473.0,2.462,h ocean,162500
52,174.0,66.0,249.0,57.0,1.7763,h ocean,312500
15,326.0,123.0,490.0,105.0,1.4886,h ocean,175000
40,637.0,273.0,1150.0,263.0,1.8625,h ocean,131300
52,1802.0,613.0,2382.0,587.0,1.8438,h ocean,185900
40,680.0,273.0,995.0,249.0,2.2607,h ocean,165600
30,929.0,238.0,763.0,214.0,2.5227,h ocean,187500
38,715.0,282.0,1174.0,300.0,2.345,h ocean,225000
42,2541.0,1282.0,3974.0,1189.0,1.5854,h ocean,87500
42,1175.0,428.0,1593.0,407.0,2.3438,h ocean,213300
30,1771.0,788.0,2188.0,764.0,1.5885,h ocean,154200
34,786.0,341.0,1239.0,320.0,2.3438,h ocean,152100
32,1657.0,579.0,2071.0,598.0,2.1135,h ocean,152500
33,1416.0,686.0,2013.0,614.0,1.9818,h ocean,208300
33,1177.0,468.0,1533.0,430.0,2.3981,h ocean,183300
41,1072.0,331.0,1111.0,314.0,1.9233,h ocean,207100
24,3247.0,1281.0,2642.0,1182.0,2.4632,h ocean,216700
14,1924.0,926.0,2226.0,792.0,2.2552,h ocean,265900
32,1777.0,536.0,1684.0,489.0,2.3636,h ocean,190000
25,7522.0,1739.0,4573.6600000000035,1581.0,2.0173,h ocean,177500
14,1787.0,853.0,2251.0,763.0,1.1642,h ocean,400000
17,2518.0,1196.0,3051.0,1000.0,1.7199,h ocean,175000
17,2124.0,1168.0,3915.0,1137.0,1.1346,h ocean,137500
25,1714.0,1176.0,3723.0,1036.0,1.3241,h ocean,112500
45,564.0,353.0,1172.0,319.0,1.494,h ocean,187500
26,513.0,338.0,1204.0,321.0,1.4904,h ocean,275000
33,1950.0,1047.0,3707.0,1012.0,1.7238,h ocean,110000
37,350.0,245.0,1122.0,248.0,2.7634,h ocean,137500
52,1292.0,864.0,2081.0,724.0,0.9563,h ocean,275000
52,1261.0,616.0,2309.0,581.0,1.6184,h ocean,225000
52,936.0,454.0,990.0,354.0,1.1122,h ocean,187500
42,2472.0,435.0,3795.0,1179.0,1.2254,h ocean,162500
25,1316.0,836.0,2796.0,784.0,1.7866,h ocean,325000
26,1164.0,674.0,1685.0,541.0,1.5727,h ocean,225000
28,1306.0,637.0,2079.0,598.0,1.4615,h ocean,275000
31,1525.0,730.0,2510.0,652.0,1.6355,h ocean,162500
41,1788.0,774.0,2931.0,702.0,1.4413,h ocean,158900
41,1075.0,597.0,2260.0,614.0,1.3,h ocean,162500
44,968.0,384.0,1805.0,375.0,1.4801,h ocean,212500
47,661.0,359.0,1406.0,307.0,1.3169,h ocean,112500
13,1784.0,435.0,2158.0,682.0,1.7038,h ocean,118100
24,323.0,214.0,751.0,189.0,1.8304,h ocean,225000
12,535.0,328.0,1194.0,365.0,1.2012,h ocean,275000
52,2156.0,306.0,861.0,311.0,8.8062,h ocean,500001
52,1841.0,240.0,693.0,218.0,8.946750000000016,h ocean,500001
52,2248.0,255.0,813.0,265.0,8.946750000000016,h ocean,500001
52,1482.0,171.0,531.0,161.0,8.946750000000016,h ocean,500001
52,2089.0,309.0,883.0,281.0,7.4574,h ocean,500001
52,1311.0,310.0,707.0,290.0,3.4812,h ocean,432800
49,649.0,315.0,987.0,329.0,1.6806,h ocean,316700
19,3013.0,1118.0,2465.0,1008.0,2.5386,h ocean,290600
9,1554.0,815.0,1704.0,761.0,2.0185,h ocean,141700
22,492.0,269.0,634.0,261.0,1.6406,h ocean,300000
26,2302.0,1124.0,2660.0,1004.0,2.3567,h ocean,253100
43,3056.0,1345.0,3920.0,1304.0,1.925,h ocean,300000
31,1489.0,664.0,1793.0,556.0,2.4348,h ocean,230600
46,5677.0,1739.0,4573.6600000000035,1581.0,1.8238,h ocean,237500
26,2107.0,757.0,2660.0,740.0,2.3375,h ocean,282300
36,2657.0,738.0,2274.0,723.0,3.425,h ocean,281700
28,2362.0,949.0,2759.0,894.0,2.2364,h ocean,305600
49,2549.0,630.0,1539.0,594.0,2.6218,h ocean,350900
40,2657.0,794.0,2149.0,749.0,2.2653,h ocean,445000
52,2980.0,366.0,967.0,359.0,8.946750000000016,h ocean,500001
36,369.0,147.0,145.0,136.0,0.8804,h ocean,450000
52,983.0,246.0,578.0,204.0,5.7393,h ocean,500001
25,2740.0,707.0,1420.0,664.0,3.5909,h ocean,404500
52,955.0,100.0,457.0,120.0,8.946750000000016,h ocean,500001
26,5062.0,1739.0,4533.0,1581.0,2.3105,h ocean,166700
30,3110.0,1269.0,2535.0,1218.0,1.6987,h ocean,412500
18,3759.0,435.0,3296.0,1462.0,2.2708,h ocean,175000
20,3264.0,1248.0,2919.0,1191.0,2.3674,h ocean,500001
20,1782.0,896.0,1749.0,823.0,2.2094,h ocean,75000
34,2470.0,1197.0,2326.0,1055.0,1.9038,h ocean,325000
24,4021.0,1707.0,3727.0,1529.0,1.7365,h ocean,112500
28,5221.0,1739.0,4573.6600000000035,1581.0,1.8829,h ocean,300000
43,1366.0,740.0,942.0,672.0,1.6953,h ocean,150000
42,3894.0,1739.0,4573.6600000000035,1581.0,1.5553,h ocean,70000
27,2456.0,1111.0,4137.0,1104.0,1.5954,h ocean,187500
46,1759.0,1012.0,2716.0,877.0,2.1637,h ocean,350000
47,1390.0,872.0,2860.0,827.0,1.468,h ocean,137500
23,2040.0,778.0,2235.0,697.0,1.9309,h ocean,233300
33,2437.0,1283.0,3906.0,1084.0,2.0332,h ocean,270000
21,3960.0,1490.0,3468.0,1335.0,1.8214,h ocean,475000
23,2512.0,1203.0,3720.0,1118.0,1.7896,h ocean,322200
24,1336.0,453.0,1268.0,426.0,2.8202,h ocean,500001
47,3038.0,1533.0,4225.0,1472.0,1.6725,h ocean,187500
34,1848.0,667.0,1351.0,589.0,2.0547,h ocean,410000
52,2124.0,756.0,1920.0,756.0,2.1435,h ocean,328900
31,2827.0,1084.0,3107.0,993.0,2.0278,h ocean,360000
14,1559.0,646.0,1639.0,567.0,1.9949,h ocean,380000
42,3292.0,713.0,2224.0,674.0,3.5517,h ocean,291500
43,2808.0,584.0,1654.0,569.0,4.125,h ocean,436800
36,3239.0,722.0,1383.0,612.0,4.5918,h ocean,337000
52,1368.0,231.0,737.0,248.0,8.3617,h ocean,433800
48,2405.0,527.0,1868.0,502.0,3.375,h ocean,257800
44,1574.0,390.0,1323.0,404.0,2.5284,h ocean,226300
45,1707.0,519.0,1446.0,466.0,2.1736,h ocean,171300
50,1389.0,364.0,976.0,302.0,1.5882,h ocean,327300
42,3343.0,1183.0,3480.0,1146.0,1.9923,h ocean,250000
35,1692.0,423.0,1578.0,406.0,2.5313,h ocean,305800
40,1667.0,365.0,1161.0,384.0,3.1406,h ocean,417600
44,1612.0,650.0,2028.0,593.0,1.9152,h ocean,115600
42,1476.0,610.0,1605.0,545.0,1.721,h ocean,214300
42,443.0,223.0,582.0,223.0,2.2937,h ocean,350000
46,1386.0,457.0,1845.0,485.0,2.1414,h ocean,157700
31,1744.0,720.0,2034.0,633.0,2.2684,h ocean,193800
30,1417.0,589.0,1615.0,540.0,1.3867,h ocean,193800
34,1102.0,435.0,1325.0,439.0,1.5972,h ocean,168800
36,1723.0,569.0,1664.0,501.0,1.9323,h ocean,161100
34,1453.0,588.0,1987.0,589.0,2.096,h ocean,187500
18,3585.0,1661.0,4573.6600000000035,1534.0,1.847,h ocean,250000
11,677.0,370.0,1143.0,341.0,2.3864,h ocean,350000
31,2818.0,1252.0,4126.0,1200.0,2.053,h ocean,229200
52,1801.0,313.0,714.0,293.0,4.6838,h ocean,479000
52,2497.0,406.0,1030.0,412.0,4.89,h ocean,500001
52,2315.0,356.0,894.0,345.0,4.1328,h ocean,500001
52,2066.0,319.0,981.0,297.0,5.8632,h ocean,450000
52,1421.0,163.0,495.0,167.0,8.946750000000016,h ocean,500001
52,1721.0,195.0,688.0,196.0,8.946750000000016,h ocean,500001
52,1621.0,284.0,588.0,272.0,6.2223,h ocean,500001
52,3421.0,598.0,1203.0,564.0,4.1618,h ocean,500001
52,2756.0,542.0,971.0,510.0,5.5871,h ocean,500001
52,2877.0,721.0,1186.0,704.0,3.2645,h ocean,175000
52,2373.0,601.0,1135.0,576.0,3.1765,h ocean,225000
52,1902.0,488.0,848.0,478.0,2.9621,h ocean,175000
48,890.0,255.0,434.0,232.0,3.6111,h ocean,450000
45,7803.0,1739.0,3359.0,1581.0,3.3594,h ocean,287500
46,1651.0,410.0,512.0,397.0,4.0179,h ocean,350000
45,3312.0,880.0,1157.0,809.0,3.5719,h ocean,500001
40,1821.0,447.0,777.0,441.0,2.3375,h ocean,355200
48,1740.0,360.0,748.0,357.0,4.7019,h ocean,411100
50,2519.0,435.0,1117.0,516.0,4.3667,h ocean,405600
52,2046.0,451.0,944.0,435.0,3.4265,h ocean,456900
52,2203.0,437.0,899.0,384.0,4.25,h ocean,486900
52,2195.0,435.0,884.0,432.0,5.24,h ocean,486400
44,2703.0,663.0,1045.0,619.0,3.201,h ocean,287500
39,2309.0,526.0,870.0,546.0,3.1677,h ocean,453400
52,1084.0,247.0,468.0,255.0,3.4286,h ocean,474300
25,4625.0,1307.0,1739.0,1191.0,3.3989,h ocean,485000
16,4814.0,1381.0,1897.0,1209.0,3.3725,h ocean,375000
21,3653.0,956.0,1510.0,890.0,3.5573,h ocean,500001
52,3175.0,1057.0,1594.0,997.0,3.1766,h ocean,225000
52,3446.0,1360.0,1768.0,1245.0,2.4722,h ocean,500001
52,1314.0,170.0,629.0,214.0,7.1669,h ocean,500001
52,2530.0,458.0,1122.0,449.0,3.9167,h ocean,321600
52,2069.0,417.0,826.0,377.0,3.5481,h ocean,396000
52,1482.0,336.0,768.0,300.0,3.7167,h ocean,327300
52,2837.0,602.0,1164.0,551.0,3.2411,h ocean,250000
48,1354.0,279.0,716.0,309.0,3.7167,h ocean,385000
52,1368.0,322.0,617.0,303.0,5.3819,h ocean,440900
33,2880.0,836.0,1416.0,736.0,2.6781,h ocean,328800
48,3551.0,826.0,1601.0,827.0,3.2279,h ocean,400000
39,2810.0,670.0,1109.0,624.0,3.25,h ocean,355000
52,2130.0,455.0,921.0,395.0,2.9605,h ocean,500001
52,843.0,160.0,333.0,151.0,4.5192,h ocean,446000
52,1608.0,289.0,630.0,252.0,5.5596,h ocean,500001
28,2522.0,616.0,991.0,574.0,3.1475,h ocean,362500
29,3946.0,1008.0,1676.0,876.0,2.7824,h ocean,450000
31,4345.0,1158.0,1987.0,1070.0,2.8233,h ocean,310000
25,2558.0,661.0,1183.0,636.0,3.5556,h ocean,500000
35,2457.0,552.0,1159.0,523.0,3.0862,h ocean,345300
52,1197.0,231.0,671.0,219.0,3.825,h ocean,278500
48,1266.0,234.0,539.0,222.0,4.005,h ocean,275000
41,2369.0,544.0,1252.0,522.0,2.9883,h ocean,296100
52,2239.0,423.0,832.0,411.0,5.0858,h ocean,470000
52,2346.0,437.0,1121.0,400.0,4.0583,h ocean,444300
52,1563.0,306.0,776.0,308.0,3.625,h ocean,440900
52,2402.0,506.0,878.0,464.0,4.0217,h ocean,500001
48,1825.0,404.0,728.0,363.0,3.3824,h ocean,322600
47,1424.0,300.0,632.0,278.0,4.0625,h ocean,295200
48,1835.0,380.0,956.0,370.0,3.2813,h ocean,243600
49,995.0,184.0,462.0,194.0,2.7917,h ocean,242000
45,1879.0,395.0,946.0,409.0,3.3333,h ocean,254700
50,3518.0,812.0,1724.0,758.0,3.0833,h ocean,338100
52,2053.0,480.0,900.0,417.0,3.0707,h ocean,417900
47,1621.0,314.0,724.0,311.0,5.7509,h ocean,474100
52,1004.0,231.0,590.0,226.0,4.2404,h ocean,351000
52,1241.0,210.0,526.0,214.0,4.4191,h ocean,334100
49,702.0,435.0,458.0,187.0,4.8958,h ocean,333600
40,2352.0,598.0,1133.0,563.0,3.238,h ocean,287500
35,3517.0,879.0,1632.0,784.0,3.0956,h ocean,500001
47,2815.0,679.0,1533.0,594.0,2.5806,h ocean,234100
44,1856.0,493.0,1374.0,469.0,2.0984,h ocean,158000
42,1372.0,435.0,674.0,271.0,2.8793,h ocean,202100
45,2283.0,435.0,1093.0,475.0,2.5658,h ocean,252000
46,2149.0,451.0,905.0,443.0,2.8841,h ocean,290800
50,2009.0,419.0,1130.0,402.0,3.1944,h ocean,213500
39,975.0,292.0,723.0,285.0,2.2725,h ocean,140600
52,1971.0,414.0,1065.0,409.0,3.6435,h ocean,195800
52,2194.0,504.0,997.0,438.0,2.6654,h ocean,259400
39,2965.0,812.0,2638.0,794.0,2.532,h ocean,172700
39,1294.0,330.0,1140.0,313.0,2.2554,h ocean,165000
48,1184.0,328.0,953.0,311.0,2.3526,h ocean,156300
31,1090.0,251.0,955.0,239.0,2.913,h ocean,192500
46,3015.0,795.0,2300.0,725.0,2.0706,h ocean,268500
52,2545.0,401.0,1004.0,372.0,3.6373,h ocean,420000
41,2099.0,472.0,1369.0,465.0,2.7409,h ocean,167100
35,2345.0,607.0,2042.0,565.0,2.5955,h ocean,139700
40,2064.0,662.0,2140.0,617.0,2.2254,h ocean,127100
37,1466.0,529.0,1835.0,500.0,1.7014,h ocean,123200
36,1956.0,601.0,1672.0,546.0,1.8685,h ocean,150700
49,1104.0,266.0,668.0,297.0,3.0856,h ocean,151600
45,1579.0,357.0,713.0,335.0,2.1711,h ocean,179200
48,1769.0,429.0,993.0,405.0,2.3214,h ocean,139400
45,1767.0,417.0,1052.0,379.0,3.5161,h ocean,157000
38,1626.0,375.0,1019.0,372.0,2.3687,h ocean,146800
43,1690.0,379.0,1017.0,359.0,2.1078,h ocean,133500
37,1236.0,435.0,966.0,292.0,3.0694,h ocean,122200
34,3239.0,806.0,2331.0,765.0,2.0538,h ocean,125800
41,1617.0,423.0,1110.0,375.0,2.4635,h ocean,169400
44,865.0,208.0,537.0,183.0,1.9,h ocean,110900
45,1839.0,459.0,1312.0,460.0,2.5625,h ocean,138000
42,1681.0,360.0,987.0,337.0,2.6,h ocean,171400
48,1426.0,331.0,784.0,356.0,1.6581,h ocean,118800
42,2010.0,494.0,1203.0,427.0,1.9408,h ocean,134600
35,1438.0,333.0,794.0,306.0,1.975,h ocean,138100
33,1806.0,444.0,1161.0,393.0,2.5927,h ocean,161500
33,2314.0,624.0,1714.0,582.0,1.7377,h ocean,183900
48,2437.0,443.0,1400.0,426.0,2.628,h ocean,251100
47,1989.0,532.0,1430.0,519.0,1.8333,h ocean,151100
42,1766.0,404.0,1117.0,367.0,2.0259,h ocean,168800
44,1008.0,223.0,544.0,223.0,2.8654,h ocean,176800
35,3189.0,935.0,2221.0,801.0,2.1046,h ocean,114000
39,2840.0,826.0,1911.0,688.0,1.9018,h ocean,137500
47,1082.0,198.0,455.0,193.0,3.0132,h ocean,223200
50,1845.0,349.0,1109.0,335.0,2.8971,h ocean,127800
47,1734.0,453.0,1272.0,438.0,3.1731,h ocean,121500
52,2511.0,587.0,1660.0,546.0,2.6098,h ocean,127100
51,2010.0,460.0,1355.0,433.0,2.0304,h ocean,133400
47,1648.0,346.0,1120.0,338.0,2.0042,h ocean,114200
45,1667.0,399.0,928.0,375.0,1.8783,h ocean,118200
46,1528.0,391.0,933.0,366.0,2.1979,h ocean,125700
46,2312.0,625.0,1552.0,603.0,1.6429,h ocean,125000
48,1614.0,320.0,684.0,318.0,4.2218,h ocean,181000
44,2067.0,385.0,1046.0,441.0,3.5357,h ocean,156900
49,2334.0,530.0,1334.0,447.0,1.89,h ocean,124000
43,2122.0,524.0,1510.0,436.0,2.2273,h ocean,123300
52,427.0,92.0,233.0,116.0,3.25,h ocean,134700
42,2043.0,512.0,1634.0,501.0,1.9928,h ocean,125400
36,1083.0,342.0,1023.0,295.0,2.1324,h ocean,143800
40,2323.0,661.0,1847.0,614.0,1.8316,h ocean,113500
38,1400.0,376.0,1139.0,315.0,2.2368,h ocean,120000
35,1819.0,499.0,1666.0,482.0,1.6452,h ocean,125900
38,2365.0,638.0,2259.0,607.0,2.0879,h ocean,120700
43,1350.0,287.0,811.0,307.0,3.3636,h ocean,140900
46,2437.0,502.0,1151.0,477.0,2.4444,h ocean,134100
49,1609.0,371.0,896.0,389.0,2.5156,h ocean,136600
50,1172.0,261.0,685.0,260.0,3.1442,h ocean,130300
49,1295.0,276.0,765.0,265.0,3.4306,h ocean,130200
47,1927.0,561.0,1349.0,508.0,1.3444,h ocean,125000
43,1356.0,333.0,796.0,329.0,1.7159,h ocean,189700
41,1425.0,285.0,838.0,296.0,3.9732,h ocean,188400
44,1944.0,458.0,981.0,377.0,2.6154,h ocean,193200
35,1627.0,838.0,3013.0,791.0,1.5565,h ocean,152500
39,1155.0,433.0,1857.0,424.0,2.1696,h ocean,153400
41,659.0,291.0,1224.0,290.0,2.0817,h ocean,132500
40,907.0,349.0,1426.0,323.0,1.8571,h ocean,143800
48,1353.0,488.0,1945.0,487.0,2.4359,h ocean,123700
50,1757.0,522.0,2080.0,488.0,1.7225,h ocean,180000
51,1005.0,314.0,1227.0,306.0,2.4297,h ocean,162500
39,993.0,506.0,1765.0,464.0,1.2786,h ocean,121900
38,1864.0,515.0,1768.0,439.0,1.9336,h ocean,190600
35,2007.0,571.0,1513.0,554.0,2.1162,h ocean,229200
26,1809.0,640.0,2543.0,640.0,2.3536,h ocean,500000
33,2691.0,726.0,2390.0,681.0,2.4048,h ocean,208300
29,2038.0,578.0,2070.0,570.0,2.0658,h ocean,214600
29,2438.0,867.0,2114.0,753.0,0.8351,h ocean,150000
31,2206.0,501.0,1194.0,435.0,1.9531,h ocean,227800
52,1277.0,285.0,954.0,334.0,2.5833,h ocean,234600
24,2092.0,585.0,1757.0,538.0,1.7109,h ocean,175000
37,1470.0,399.0,1579.0,390.0,2.006,h ocean,150000
37,2338.0,686.0,2376.0,630.0,1.767,h ocean,170300
44,1941.0,579.0,2049.0,535.0,2.0405,h ocean,143000
41,1653.0,426.0,1868.0,393.0,1.78,h ocean,162500
35,1090.0,345.0,1605.0,330.0,2.1518,h ocean,152800
31,700.0,299.0,1272.0,298.0,2.1542,h ocean,128100
32,432.0,182.0,702.0,186.0,2.1471,h ocean,125000
42,1680.0,557.0,2099.0,526.0,1.9167,h ocean,136400
45,943.0,289.0,953.0,238.0,2.0673,h ocean,151600
42,907.0,378.0,822.0,288.0,1.2875,h ocean,179200
29,3544.0,1384.0,3323.0,1213.0,1.0219,h ocean,258300
38,1501.0,437.0,1777.0,441.0,2.0848,h ocean,135200
22,3313.0,1235.0,2381.0,1063.0,0.7473,h ocean,168800
27,1084.0,287.0,1085.0,279.0,2.135,h ocean,119600
46,2173.0,510.0,1343.0,476.0,2.025,h ocean,135500
52,1902.0,406.0,1233.0,385.0,2.8295,h ocean,132200
52,1173.0,284.0,814.0,295.0,2.45,h ocean,111400
44,1555.0,324.0,931.0,265.0,1.4712,h ocean,105800
45,1423.0,278.0,822.0,276.0,2.4519,h ocean,98100
52,1832.0,441.0,1186.0,420.0,1.2434,h ocean,98400
47,2241.0,559.0,1775.0,504.0,2.1571,h ocean,147900
40,1695.0,374.0,1138.0,357.0,2.7125,h ocean,150000
47,1315.0,435.0,785.0,245.0,1.23,h ocean,138400
37,2781.0,766.0,2586.0,729.0,1.8564,h ocean,187500
34,2041.0,517.0,1479.0,495.0,2.1173,h ocean,156600
23,1703.0,397.0,1333.0,361.0,1.3187,h ocean,127100
46,1976.0,469.0,1409.0,431.0,2.2981,h ocean,112100
49,2120.0,483.0,1522.0,416.0,1.85,h ocean,116800
21,1641.0,491.0,1526.0,453.0,2.087,h ocean,141300
34,3184.0,772.0,2474.0,705.0,1.631,h ocean,137500
31,1933.0,478.0,1522.0,423.0,1.5781,h ocean,119300
29,515.0,229.0,2690.0,217.0,0.4999,h ocean,500001
50,395.0,232.0,948.0,243.0,1.7546,h ocean,175000
51,1280.0,422.0,1560.0,381.0,1.7115,h ocean,125000
19,460.0,241.0,890.0,229.0,1.6089,h ocean,162500
24,1283.0,545.0,1932.0,516.0,1.2969,h ocean,160200
25,1582.0,780.0,2390.0,719.0,1.4167,h ocean,200000
20,1193.0,454.0,1880.0,453.0,2.1806,h ocean,180000
44,1273.0,474.0,1754.0,460.0,1.6037,h ocean,275000
41,1933.0,791.0,3121.0,719.0,1.8539,h ocean,147500
40,2118.0,796.0,2195.0,658.0,1.7976,h ocean,164600
48,1521.0,513.0,1772.0,458.0,2.2232,h ocean,162500
39,2004.0,633.0,3050.0,621.0,1.875,h ocean,127300
